Lemma,Sense Key,Definition,Frequency,Correct Translation?,Correct Definition?,Notes
sechithir,comply%2:41:00::,"act in accordance with someone's rules, commands, or wishes",2,"follow, pursue",0,"It can mean 'follow' or 'pursue' in a figurative sense as well as literal, but I wouldn't say it means to 'comply'."
is,be%2:42:06::,be identical to; be someone or something,15,,1,"This is the copula, but its definition is identical to the substantive verb. Technically the definition is correct, but far too limited."
attá,be%2:42:06::,be identical to; be someone or something,2,,1,"This is the substantive verb. It's definition here seems a bit limited."
insamlathar,imitate%2:36:00::,reproduce someone's behavior or looks,2,,1,
dliged,rule%1:09:00::,a principle or condition that customarily governs behavior,5,"law",1,"The definition seems technically correct, but the sense key 'rule' is an extension of the primary meaning. It means 'law' in the legal sense."
ríagol,rule%1:09:00::,a principle or condition that customarily governs behavior,2,,1,
cenélae,kind%1:09:00::,a category of things distinguished by some common characteristic or quality,11,,1,
cenél,kind%1:09:00::,a category of things distinguished by some common characteristic or quality,3,"race, nation, kindred, kind, sort, type, grammatical gender",1,"This is an extended meaning. More commonly, it means 'race', 'tribe' or 'nation' with the implication being that the group have a shared ancestor. The meaning 'kind' or 'sort' is based on this having something in common."
gné,kind%1:09:00::,a category of things distinguished by some common characteristic or quality,3,,1,"This definition is correct, but a bit broad. It usually means something more specific, like 'species'."
mrechtrad,kind%1:09:00::,a category of things distinguished by some common characteristic or quality,2,"variety, diversity",0,
indas,kind%1:09:00::,a category of things distinguished by some common characteristic or quality,2,,1,
etargne,cognition%1:03:00::,the psychological result of perception and learning and reasoning,9,"knowledge, familiarity",1,"Technically correct, but as an extended meaning. More usually this just means 'knowledge' of something, which does not need to result from learning or reasoning."
fis,cognition%1:03:00::,the psychological result of perception and learning and reasoning,3,"knowledge, information",0,"Maybe I'm being too stringent here, but I don't think 'fis' can be the psychological result of perception, learning or reasoning. It can mean the act of learning or ascertaining knowledge, but more typically means simply 'knowledge' or 'information'."
días,couple%1:23:00::,two items of the same kind,2,,1,
fer,man%1:18:00::,an adult person who is male (as opposed to a woman),8,,1,
duine,man%1:18:00::,an adult person who is male (as opposed to a woman),5,"person",0,"'duine' does not necessarily imply male."
fisid,man%1:18:00::,an adult person who is male (as opposed to a woman),3,"knowledgeable person, learned person, well informed person",0,"While, during the Old Irish period, a formally educated person may have been disproportionately likely to be male, the term itself does not necessarily exclude the possibility of being applied to a female."
becc,small%3:00:00::,limited or below average in number or quantity or magnitude or extent,8,,1,
inducbál,glory%1:26:00::,a state of high honor,3,,1,
már,greater%3:00:00::,greater in size or importance or degree,6,"great, big, large",1,"While the definition is more-or-less correct, the key sense 'greater' seems to suggest that this is a comparative form, when it is in fact just the base form of the adjective meaning ‘great’. The definition would be more accurate if it read ‘great in size or importance or degree’ instead."
lebor,book%1:10:00::,a written work or composition that has been published (printed on pages bound together),4,,1,
is,exist%2:42:00::,"have an existence, be extant",2,,0,"This again is the copula. The meaning 'exist' may be possible in some senses, but I think this would more commonly be expressed in Old Irish with the substantive verb. Stifter writes 'in cases where existence, presence, a condition or a state is meant, the copula cannot be used: statements like “I think, therefore I am” … call for the use of the substantive verb' (Sengoidelc, p. 119)."
cummasc,confusion%1:26:01::,disorder resulting from a failure to behave predictably,2,"mixing, commingling, mixture",0,"This is idiomatically translated as 'confusion' once in Sg. but allowing that definition here strikes me like saying 'mixed' is synonymous with 'confused' as a result of its use in the phrase 'mixed up'."
doecmaing,happen%2:30:00::,come to pass,3,,1,
